Machine_ID,Temperature,Run_Time,Downtime_Flag
M-6,89.93,273,1
M-9,100.0,337,0
M-8,61.01,48,1
M-6,80.44,204,0
M-2,66.32,193,1
M-13,88.45,82,1
M-8,88.19,422,0
M-9,63.45,169,1
M-10,52.54,291,1
M-12,57.76,372,1
M-2,57.77,399,1
M-14,97.99,142,0
M-3,62.24,497,1
M-13,74.34,293,1
M-3,50.05,81,1
M-14,69.93,177,0
M-1,92.94,452,0
M-9,64.51,74,1
M-4,62.15,491,1
M-4,59.86,288,0
M-12,57.52,216,0
M-17,53.23,10,0
M-13,94.1,407,1
M-2,89.86,131,0
M-16,97.63,343,0
M-17,86.04,186,0
M-17,76.2,399,1
M-12,84.36,422,1
M-5,98.72,250,1
M-13,57.61,376,1
M-14,92.41,180,1
M-8,63.47,93,0
M-9,59.51,3,0
M-2,57.62,272,0
M-20,61.21,382,1
M-14,74.11,72,0
M-9,72.61,445,1
M-17,94.97,13,1
M-8,57.37,430,0
M-10,50.43,407,1
M-16,65.89,151,0
M-4,62.91,282,1
M-10,91.77,158,0
M-9,88.84,402,0
M-7,86.19,428,0
M-5,52.58,20,1
M-18,55.31,290,1
M-6,95.62,272,1
M-13,67.03,317,1
M-9,65.04,114,0
M-20,86.36,146,1
M-13,50.26,269,0
M-6,77.06,58,0
M-6,83.53,260,1
M-15,54.26,103,1
M-7,83.6,11,0
M-4,82.41,382,1
M-4,68.72,345,0
M-7,51.54,289,0
M-5,65.53,324,0
M-10,65.75,170,1
M-20,74.25,475,1
M-10,51.15,444,0
M-11,55.4,423,0
M-10,84.13,355,1
M-20,72.26,129,0
M-4,71.16,32,0
M-14,50.33,23,1
M-7,93.52,189,0
M-14,90.6,299,1
M-6,73.38,355,0
M-7,56.76,96,1
M-3,86.76,146,0
M-15,51.32,271,1
M-13,77.74,10,0
M-2,91.36,3,0
M-11,81.95,301,0
M-3,82.97,362,0
M-11,93.61,19,0
M-1,95.53,326,1
M-13,96.1,11,1
M-10,91.38,452,1
M-2,99.46,352,0
M-8,65.84,387,0
M-8,75.79,72,0
M-1,52.45,311,0
M-9,73.81,81,0
M-3,99.23,342,0
M-12,85.1,94,0
M-3,79.8,500,1
M-20,80.89,41,0
M-2,65.56,32,1
M-19,91.09,477,0
M-4,78.69,18,1
M-11,91.99,146,1
M-13,81.64,82,0
M-8,58.67,263,1
M-19,88.47,258,0
M-8,83.77,270,1
M-9,73.75,368,0
M-14,63.38,334,1
M-18,50.77,337,0
M-14,84.33,101,1
M-11,85.94,138,1
M-18,80.71,391,0
M-3,66.7,477,0
M-8,74.05,129,0
M-11,80.26,302,0
M-13,73.1,286,0
M-16,57.83,396,1
M-11,61.22,80,1
M-5,92.49,325,0
M-11,99.92,184,1
M-14,93.55,177,0
M-5,81.32,128,1
M-8,74.17,319,0
M-11,84.8,58,1
M-3,91.48,189,0
M-10,89.61,222,1
M-19,85.81,415,1
M-18,50.91,135,1
M-8,50.05,109,0
M-8,68.49,10,0
M-19,69.15,450,0
M-3,66.71,44,1
M-16,98.43,319,1
M-1,76.5,455,1
M-3,51.23,113,0
M-18,81.36,312,1
M-11,75.39,105,1
M-5,82.58,161,0
M-6,79.09,251,0
M-6,85.64,418,0
M-20,71.63,98,0
M-14,79.94,224,1
M-1,65.24,473,1
M-17,90.6,248,1
M-13,99.7,108,0
M-20,99.9,499,0
M-8,87.88,106,0
M-10,68.06,82,0
M-8,66.72,142,1
M-18,82.17,399,1
M-6,62.83,258,0
M-15,64.6,340,1
M-14,54.47,491,1
M-15,78.54,326,0
M-12,69.49,284,1
M-13,93.43,74,1
M-17,81.09,238,0
M-14,55.5,301,0
M-9,80.62,119,0
M-20,83.47,83,0
M-16,82.48,494,1
M-9,66.36,471,1
M-19,71.21,265,1
M-17,62.51,242,1
M-8,74.82,262,1
M-1,81.45,119,1
M-20,88.89,273,1
M-19,84.08,322,1
M-18,84.98,80,0
M-6,75.07,315,0
M-15,88.34,154,1
M-5,66.78,460,0
M-5,62.49,65,0
M-5,66.04,460,1
M-2,90.83,347,1
M-12,50.17,7,1
M-20,58.28,342,1
M-20,70.15,344,1
M-6,68.28,383,0
M-7,98.09,412,1
M-20,86.74,255,1
M-14,66.29,447,1
M-1,88.08,61,1
M-19,77.57,170,0
M-12,97.53,49,1
M-9,95.37,401,1
M-6,66.51,89,0
M-11,82.53,279,0
M-2,54.22,492,0
M-6,92.76,134,1
M-15,52.54,271,0
M-2,64.86,128,1
M-5,86.88,289,1
M-19,74.12,133,1
M-15,80.94,7,0
M-19,51.43,3,0
M-17,70.36,321,0
M-12,81.83,50,1
M-7,86.13,448,1
M-9,75.62,467,0
M-19,61.72,399,0
M-15,51.13,26,1
M-3,80.75,266,0
M-5,77.04,212,0
M-18,91.57,185,1
M-1,80.56,406,0
M-19,89.61,204,0
M-12,60.06,189,1
M-18,58.48,186,0
M-20,75.48,382,1
M-7,72.12,268,1
M-3,65.6,312,1
M-20,78.18,153,0
M-5,78.25,377,1
M-16,83.0,299,0
M-19,85.02,417,0
M-2,80.5,32,1
M-15,57.97,386,0
M-3,58.19,389,1
M-5,69.84,159,0
M-3,96.32,230,1
M-1,50.54,418,0
M-19,96.88,415,0
M-6,89.57,474,1
M-11,81.11,250,0
M-8,55.24,82,1
M-5,56.15,43,1
M-9,53.69,410,1
M-3,93.14,312,1
M-18,67.2,383,0
M-4,51.38,180,0
M-2,71.76,276,0
M-9,73.79,75,1
M-18,75.94,86,1
M-12,54.86,268,1
M-5,59.85,167,1
M-12,66.87,265,1
M-18,60.88,487,1
M-14,90.06,35,0
M-20,91.91,178,1
M-12,75.27,214,0
M-1,98.66,487,1
M-13,58.1,277,1
M-18,54.34,47,1
M-6,86.35,17,0
M-4,80.87,250,1
M-16,82.66,171,0
M-17,64.29,118,0
M-19,90.44,403,1
M-3,82.37,455,1
M-18,91.35,446,0
M-14,90.44,122,0
M-3,85.38,471,1
M-19,58.85,287,0
M-16,85.78,33,1
M-9,51.95,318,0
M-3,57.24,115,0
M-10,61.35,183,1
M-3,89.32,290,1
M-5,85.1,107,0
M-8,96.96,90,0
M-7,76.19,320,1
M-16,71.06,153,0
M-11,83.02,156,1
M-16,75.79,191,0
M-2,72.05,286,0
M-17,77.97,409,0
M-4,84.01,437,1
M-16,77.73,364,1
M-2,76.62,133,0
M-20,62.36,192,1
M-14,71.44,411,0
M-5,86.07,348,1
M-9,86.87,178,1
M-2,64.08,313,1
M-18,68.61,68,1
M-3,60.2,205,0
M-11,53.54,60,0
M-20,86.23,82,0
M-4,55.86,254,0
M-3,94.53,429,1
M-4,77.73,409,0
M-14,73.28,131,1
M-4,63.19,439,1
M-10,95.43,157,1
M-11,97.49,95,0
M-16,61.01,476,0
M-13,84.6,115,1
M-7,80.06,281,1
M-14,58.84,170,1
M-9,98.05,119,1
M-13,55.91,42,1
M-7,81.25,329,1
M-1,72.77,464,1
M-16,96.31,218,0
M-6,64.81,401,0
M-9,56.49,170,0
M-7,88.26,469,1
M-7,61.04,479,0
M-20,79.52,82,0
M-8,95.69,451,0
M-18,79.43,455,1
M-9,95.12,286,1
M-4,62.77,433,0
M-6,83.85,159,1
M-20,91.56,498,0
M-2,69.16,377,1
M-17,79.09,19,1
M-20,98.62,477,0
M-9,90.47,369,1
M-9,61.18,453,1
M-3,51.48,140,1
M-6,96.4,394,0
M-5,84.35,191,0
M-6,53.87,400,1
M-8,56.1,13,1
M-13,64.87,188,0
M-13,62.83,116,0
M-11,67.94,338,0
M-20,96.69,412,1
M-20,75.39,193,1
M-7,77.79,313,1
M-1,97.11,179,0
M-12,90.71,11,0
M-8,95.43,116,1
M-18,52.88,468,1
M-20,73.5,298,0
M-9,62.14,66,1
M-9,83.17,296,0
M-10,84.5,322,1
M-16,55.72,116,1
M-17,91.81,457,1
M-9,72.06,478,0
M-8,78.3,28,1
M-17,70.9,480,1
M-14,75.24,115,1
M-17,54.7,369,1
M-9,73.31,467,0
M-12,50.71,152,0
M-3,86.1,283,0
M-10,79.83,357,1
M-16,69.28,171,0
M-8,62.88,163,0
M-4,86.01,90,1
M-12,52.05,233,1
M-20,68.05,420,1
M-14,60.81,492,1
M-10,73.32,262,0
M-1,68.99,261,0
M-3,79.09,288,1
M-17,63.21,356,0
M-18,67.41,247,1
M-13,76.47,133,1
M-6,89.17,154,1
M-2,83.39,346,1
M-20,92.49,367,0
